Id;Titulo;Canal;Midia;Veiculo;IdVeiculo;Programa;Avaliacao;Regiao;Estado;Cidade;NumeroCaracteres;Minutagem;Centimetragem;Valoracao;PageViews;DataCadastro;DataFonte;Abrangencia;Tier;Provedor;Url;IDV;
870087076;O sequestro da centro-direita;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;GERAL; ;SUDESTE;SP;SÃO PAULO; ; ;396;648469,8000; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF02000000F36F30A0FC583EBEA1B1911C4CFDACDEA5D9AC0E2FAA08445036A1D206933CA86AD849E400A94E51D1FFD8BEDF41D71141AEACE5987B791CDF9FFBC06B1DDEA6856BDF5017AEDBE4F8DF3687B782A57B;
870087077;C&A completa 50 anos como protagonista da transformação do varejo de moda no Brasil;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;GERAL; ;SUDESTE;SP;SÃO PAULO; ; ;542;887552,1000; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF020000003DB0C1E0D2CE5FA1244D9B9F04BA03029497A07D484C6BFA90915842AAE80BCB83DF92288AA61C9116F295DD4163C9450F18F71B0116358A44592D2743C0F9EE9119236779E0AC70FDAF5D4C561F026B;
870087078;Exportações de aço para os EUA recuam 8,3%;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;GERAL; ;SUDESTE;SP;SÃO PAULO; ; ;138;225981,9000; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF020000008A1E5ECE56EBC9804EE9A75B42D9E2F9970A5A1D26E2E8A030E16FD9F13525DDD76CE67C7975B536294FC221EC7953B3C7F1FBDD09254112AD1EFD7F2187EEEE970F710737000DABBA2B936479EDABE8;
870087079;Cunhado de Vorcaro foi sócio de donos dos sites PlatôBR e Brazil Journal;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;ESPAÇO ABERTO; ;SUDESTE;SP;SÃO PAULO; ; ;1338;2191041,9000; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF020000006C0D5BCB3631DC5E38640CB55D912772A8A72D897547BB1EEDF2EB45EC610A022ECCAB56FDBFA5CFEA167BBEB696025855C10544D2DA9F2B73AAD92AD3AF525C46202C62323184B31510D2D1CF677B82;
870087080;Mensalidade escolar pressiona e IPCA sobe 0,7%;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;ESPAÇO ABERTO; ;SUDESTE;SP;SÃO PAULO; ; ;645;1056219,7500; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF020000009D4A9B7940F6B7DAEF0C102B4C9508D315B65883EB346FE0BD62C74524A8A24078E312806A95D24C75C514EA8BA81D80333B5487BBA05645B6084B0FF5FE4952B54E4943AE450FE381C4866511B0BEE3;
870087081;Com piora do mercado, MRV&CO reduz os seus negócios nos EUA;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;GERAL; ;SUDESTE;SP;SÃO PAULO; ; ;573;938316,1500; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF02000000DA279ED939FD99A4D0CA61613AB00BBD62489F8FCA42E661511AAED4D179C7D8C58CBFA4A35C47A1EA8B92C39602824E69A5984794C91D6DA6C2C0E4A2E687ADA1D663DFAA3AD8F513BC0BA3464A46AA;
870087082;Há recuo, mas índice ainda está fora do centro da meta;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;GERAL; ;SUDESTE;SP;SÃO PAULO; ; ;258;422487,9000; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF02000000D4921E78E28326E5F60CD3A327648AF3FD1AF5499D8C4B5E58094B3842D2F8B50FD67F58589B1C9115FDE9AA3B116B5C2AB0CA46192BD50F7140952C28C6192D622FC16AB8639A8F0F0E901D5C09B2B9;
870087083;Cabaret Brasil;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;GERAL; ;SUDESTE;SP;SÃO PAULO; ; ;414;677945,7000; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF0200000030AE11B4B79F1D130015C5BFDEC3CFE6C55F0381291E0FD7FF8CBC05CCECA6216814A3460EA505D9363C5B4CCABACC4AF9642312947F2CB794D50B2C13071F52F8939328B965C0F511DC73949494C570;
870087084;Maioria do mercado prevê corte de 0,5 ponto na Selic;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;GERAL; ;SUDESTE;SP;SÃO PAULO; ; ;131;214519,0500; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF02000000886E6B26BB3973567BA162AAD68FE6041A21528C32559483E0687D87907BC7AA1E89603B383D0CC38FE1F5F768348E2AAC988038C5F6F87F0852C55D2647F8E95ECE2DE714F3D233EBED41DE70CC9371;
870087085;Toffoli o suspeito;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;ESPAÇO ABERTO; ;SUDESTE;SP;SÃO PAULO; ; ;690;1129909,5000; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF020000003C00E540E22047C033B16B48C7376F823057C7CC6E70D3E25264FA730D062CA2ABFCBA8E4DFAD00B5C1F9D36963DA8C8A6F789EB1ADCD91F3E6E64D45518AEDD5AD79243476EF604B674CA5005475D62;
870087086;Verdade e mentira Chay Suede estrela peça em que une ficção e realidade para falar de sua formação;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;ESPAÇO ABERTO; ;SUDESTE;SP;SÃO PAULO; ; ;1311;2146828,0500; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF02000000AFAF1F0606EA9BB0AD63A6A33CEB9D3040445F6A571FE3EB46919E73B30BD0D1A1191B0B49D8FFF91F52ED1E0FB980D4AC32557215FD6D5601026055F1A0F418D36A7A49BD5595C2BB06AA0735BF17F3;
870087087;Expedient e;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;ESPAÇO ABERTO; ;SUDESTE;SP;SÃO PAULO; ; ;109;178492,9500; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF020000002927035233A58964EE0A897E9206085B230606A1DE76A477FB0FB791B8346E31B1F5AC64B5118936931070DB68DD25A48B0B6458AB4F7DA3986FB1E030DF4D8755B35D20377345227ADCDE5AABDF786F;
870087088;Wagner Moura será um dos apresentadores da festa;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;GERAL; ;SUDESTE;SP;SÃO PAULO; ; ;158;258732,9000; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF020000006E8E0A046B1C2477D7A1C9B044241143AA4D37775D43E0C4138DB2B79E0F14FC9FB98FF9EC6ED3CBF1735D310B0338111CAEB1D39CB3B419F795B642AE265FE509338F456AF2E7367BE95F3FCFB8AB86;
870087089;Rumo perigoso da IA nos EUA;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;ESPAÇO ABERTO; ;SUDESTE;SP;SÃO PAULO; ; ;547;895739,8500; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF020000009615026DDCBD0CCBED959C5B642AC80D5F5E3D8DB51064D9F514AA772D207217062725F8F9051B811E8FF217E9FC0852CFF2B7ADE7FBD49976E7015A35A4D6598D5880911799C3459EB108304F457A61;
870087090;Carol Prado De onde vem o molho?;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;GERAL; ;SUDESTE;SP;SÃO PAULO; ; ;415;679583,2500; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF02000000B7DFD84566A0203A959C4E037289FB62D752D8FDA311A27D0516B99B9ED263C1AF809B06F2AE72D29722B00070AA27B1F490614150876E7B627F22DFF8285C50C9B1A3277D2A84F666591DA2A0865BED;
